index,u_param,t_progress,x,y,width_eval,height_eval,theta_eval,theta_internal,offset_eval
110,0.429688,0.432645,0.000000,118.169787,40.000000,10.000000,1.359194,1.359194,0.000000
111,0.433594,0.436578,0.000000,119.244058,40.000000,10.000000,1.371550,1.371550,0.000000
112,0.437500,0.440511,0.000000,120.318329,40.000000,10.000000,1.383906,1.383906,0.000000
113,0.441406,0.444444,0.000000,121.392600,40.000000,10.000000,1.396263,1.396263,0.000000
114,0.445312,0.448377,0.000000,122.466870,40.000000,10.000000,1.408619,1.408619,0.000000
115,0.449219,0.452311,0.000000,123.541141,40.000000,10.000000,1.420975,1.420975,0.000000
116,0.453125,0.456244,0.000000,124.615412,40.000000,10.000000,1.433332,1.433332,0.000000
117,0.457031,0.460177,0.000000,125.689683,40.000000,10.000000,1.445688,1.445688,0.000000
118,0.460938,0.464110,0.000000,126.763954,40.000000,10.000000,1.458044,1.458044,0.000000
119,0.464844,0.468043,0.000000,127.838224,40.000000,10.000000,1.470401,1.470401,0.000000
120,0.468750,0.471976,0.000000,128.912495,40.000000,10.000000,1.482757,1.482757,0.000000
121,0.472656,0.475909,0.000000,129.986766,40.000000,10.000000,1.495113,1.495113,0.000000
122,0.476562,0.479842,0.000000,131.061037,40.000000,10.000000,1.507470,1.507470,0.000000
123,0.480469,0.483776,0.000000,132.135308,40.000000,10.000000,1.519826,1.519826,0.000000
124,0.484375,0.487709,0.000000,133.209578,40.000000,10.000000,1.532182,1.532182,0.000000
125,0.488281,0.491642,0.000000,134.283849,40.000000,10.000000,1.544538,1.544538,0.000000
126,0.492188,0.495575,0.000000,135.358120,40.000000,10.000000,1.556895,1.556895,0.000000
127,0.496094,0.499508,0.000000,136.432391,40.000000,10.000000,1.569251,1.569251,0.000000
128,0.500000,0.503441,0.000000,137.506662,40.000000,10.000000,1.581607,1.581607,0.000000
129,0.503906,0.507374,0.000000,138.580932,40.000000,10.000000,1.593964,1.593964,0.000000
130,0.507812,0.511308,0.000000,139.655203,40.000000,10.000000,1.606320,1.606320,0.000000
131,0.511719,0.515241,0.000000,140.729474,40.000000,10.000000,1.618676,1.618676,0.000000
132,0.515625,0.519174,0.000000,141.803745,40.000000,10.000000,1.631033,1.631033,0.000000
133,0.519531,0.523107,0.000000,142.878016,40.000000,10.000000,1.643389,1.643389,0.000000
134,0.523438,0.527040,0.000000,143.952286,40.000000,10.000000,1.655745,1.655745,0.000000
135,0.527344,0.530973,0.000000,145.026557,40.000000,10.000000,1.668102,1.668102,0.000000
136,0.531250,0.534906,0.000000,146.100828,40.000000,10.000000,1.680458,1.680458,0.000000
137,0.535156,0.538839,0.000000,147.175099,40.000000,10.000000,1.692814,1.692814,0.000000
138,0.539062,0.542773,0.000000,148.249370,40.000000,10.000000,1.705170,1.705170,0.000000
139,0.542969,0.546706,0.000000,149.323640,40.000000,10.000000,1.717527,1.717527,0.000000
140,0.546875,0.550639,0.000000,150.397911,40.000000,10.000000,1.729883,1.729883,0.000000
141,0.550781,0.554572,0.000000,151.472182,40.000000,10.000000,1.742239,1.742239,0.000000
142,0.554688,0.558505,0.000000,152.546453,40.000000,10.000000,1.754596,1.754596,0.000000
143,0.558594,0.562438,0.000000,153.620723,40.000000,10.000000,1.766952,1.766952,0.000000
144,0.562500,0.566371,0.000000,154.694994,40.000000,10.000000,1.779308,1.779308,0.000000
145,0.566406,0.570305,0.000000,155.769265,40.000000,10.000000,1.791665,1.791665,0.000000
146,0.570312,0.574238,0.000000,156.843536,40.000000,10.000000,1.804021,1.804021,0.000000
147,0.574219,0.578171,0.000000,157.917807,40.000000,10.000000,1.816377,1.816377,0.000000
148,0.578125,0.582104,0.000000,158.992077,40.000000,10.000000,1.828734,1.828734,0.000000
149,0.582031,0.586037,0.000000,160.066348,40.000000,10.000000,1.841090,1.841090,0.000000
150,0.585938,0.589970,0.000000,161.140619,40.000000,10.000000,1.853446,1.853446,0.000000
151,0.589844,0.593903,0.000000,162.214890,40.000000,10.000000,1.865802,1.865802,0.000000
152,0.593750,0.597836,0.000000,163.289161,40.000000,10.000000,1.878159,1.878159,0.000000
153,0.597656,0.601770,0.000000,164.363431,40.000000,10.000000,1.890515,1.890515,0.000000
154,0.601562,0.605703,0.000000,165.437702,40.000000,10.000000,1.902871,1.902871,0.000000
155,0.605469,0.609636,0.000000,166.511973,40.000000,10.000000,1.915228,1.915228,0.000000
156,0.609375,0.613569,0.000000,167.586244,40.000000,10.000000,1.927584,1.927584,0.000000
157,0.613281,0.617502,0.000000,168.660515,40.000000,10.000000,1.939940,1.939940,0.000000
158,0.617188,0.621435,0.000000,169.734785,40.000000,10.000000,1.952297,1.952297,0.000000
159,0.621094,0.625368,0.000000,170.809056,40.000000,10.000000,1.964653,1.964653,0.000000
160,0.625000,0.629302,0.000000,171.883327,40.000000,10.000000,1.977009,1.977009,0.000000
161,0.628906,0.633235,0.000000,172.957598,40.000000,10.000000,1.989365,1.989365,0.000000
162,0.632812,0.637168,0.000000,174.031869,40.000000,10.000000,2.001722,2.001722,0.000000
163,0.636719,0.641101,0.000000,175.106139,40.000000,10.000000,2.014078,2.014078,0.000000
164,0.640625,0.645034,0.000000,176.180410,40.000000,10.000000,2.026434,2.026434,0.000000
165,0.644531,0.648967,0.000000,177.254681,40.000000,10.000000,2.038791,2.038791,0.000000
166,0.648438,0.652900,0.000000,178.328952,40.000000,10.000000,2.051147,2.051147,0.000000
167,0.652344,0.656834,0.000000,179.403223,40.000000,10.000000,2.063503,2.063503,0.000000
168,0.656250,0.660767,0.000000,180.477493,40.000000,10.000000,2.075860,2.075860,0.000000
169,0.660156,0.664700,0.000000,181.551764,40.000000,10.000000,2.088216,2.088216,0.000000
170,0.664062,0.668633,0.000000,182.626035,40.000000,10.000000,2.100572,2.100572,0.000000
171,0.667969,0.672566,0.000000,183.700306,40.000000,10.000000,2.112929,2.112929,0.000000
172,0.671875,0.676499,0.000000,184.774577,40.000000,10.000000,2.125285,2.125285,0.000000
173,0.675781,0.680432,0.000000,185.848847,40.000000,10.000000,2.137641,2.137641,0.000000
174,0.679688,0.684365,0.000000,186.923118,40.000000,10.000000,2.149997,2.149997,0.000000
175,0.683594,0.688299,0.000000,187.997389,40.000000,10.000000,2.162354,2.162354,0.000000
176,0.687500,0.692232,0.000000,189.071660,40.000000,10.000000,2.174710,2.174710,0.000000
177,0.691406,0.696165,0.000000,190.145930,40.000000,10.000000,2.187066,2.187066,0.000000
178,0.695312,0.700098,0.000000,191.220201,40.000000,10.000000,2.199423,2.199423,0.000000
179,0.699219,0.704031,0.000000,192.294472,40.000000,10.000000,2.211779,2.211779,0.000000
180,0.703125,0.707964,0.000000,193.368743,40.000000,10.000000,2.224135,2.224135,0.000000
181,0.707031,0.711897,0.000000,194.443014,40.000000,10.000000,2.236492,2.236492,0.000000
182,0.710938,0.715831,0.000000,195.517284,40.000000,10.000000,2.248848,2.248848,0.000000
183,0.714844,0.719764,0.000000,196.591555,40.000000,10.000000,2.261204,2.261204,0.000000
184,0.718750,0.723697,0.000000,197.665826,40.000000,10.000000,2.273561,2.273561,0.000000
185,0.722656,0.727630,0.000000,198.740097,40.000000,10.000000,2.285917,2.285917,0.000000
186,0.726562,0.731563,0.000000,199.814368,40.000000,10.000000,2.298273,2.298273,0.000000
187,0.730469,0.735040,0.863626,200.209352,40.000000,10.000000,2.309196,2.309196,0.000000
188,0.734375,0.738973,1.907660,200.462437,40.000000,10.000000,2.321553,2.321553,0.000000
189,0.738281,0.742906,2.951693,200.715521,40.000000,10.000000,2.333909,2.333909,0.000000
190,0.742188,0.746839,3.995726,200.968606,40.000000,10.000000,2.346265,2.346265,0.000000
191,0.746094,0.750773,5.039760,201.221691,40.000000,10.000000,2.358621,2.358621,0.000000
192,0.750000,0.754690,6.103107,201.340671,40.000000,10.000000,2.370928,2.370928,0.000000
193,0.753906,0.758623,7.176128,201.392479,40.000000,10.000000,2.383285,2.383285,0.000000
194,0.757812,0.762556,8.249148,201.444288,40.000000,10.000000,2.395641,2.395641,0.000000
195,0.761719,0.766489,9.322169,201.496096,40.000000,10.000000,2.407997,2.407997,0.000000
196,0.765625,0.770415,10.393933,201.526244,40.000000,10.000000,2.420330,2.420330,0.000000
197,0.769531,0.774348,11.453761,201.350682,40.000000,10.000000,2.432686,2.432686,0.000000
198,0.773438,0.778281,12.513590,201.175121,40.000000,10.000000,2.445042,2.445042,0.000000
199,0.777344,0.782214,13.573418,200.999559,40.000000,10.000000,2.457399,2.457399,0.000000
200,0.781250,0.786147,14.633246,200.823998,40.000000,10.000000,2.469755,2.469755,0.000000
201,0.787500,0.792393,16.127386,200.001122,40.000000,10.000000,2.489375,2.489375,0.000000
202,0.793750,0.798638,17.621527,199.178247,40.000000,10.000000,2.508994,2.508994,0.000000
203,0.800000,0.804883,19.115667,198.355372,40.000000,10.000000,2.528614,2.528614,0.000000
204,0.806250,0.811128,20.609807,197.532496,40.000000,10.000000,2.548233,2.548233,0.000000
205,0.812500,0.817373,22.103947,196.709621,40.000000,10.000000,2.567853,2.567853,0.000000
206,0.819444,0.824221,22.934867,195.033847,40.000000,10.000000,2.589367,2.589367,0.000000
207,0.826389,0.831069,23.765786,193.358073,40.000000,10.000000,2.610881,2.610881,0.000000
